school_id,term_code,term_name,subject,course_number,crn,section_number,title,days,start_time,end_time,building,room,instructor,source_url,match,note
ucr,202530,Summer 2025 (View Only),EE,115,72284,A21,INTRODUCTION TO COMMUNICATION SYSTEMS,MW,1330,1620,Online,ONLINE,"Rafique, Moontasir",https://registrationssb.ucr.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202530&startDatepicker=&endDatepicker=&uniqueSessionId=dg5941ee26f508&pageOffset=500&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,,
ucr,202120,Spring 2021 (View Only),BIOL,010,50993,023,HEADLINES IN THE HISTORY OF LIFE,W,0900,1150,Online,ONLINE,"McCandless, Heather",https://registrationssb.ucr.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202120&startDatepicker=&endDatepicker=&uniqueSessionId=dg6cb6750657db&pageOffset=500&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,,
temple,202136,2021 Fall (View Only),PHYS,0847,47300,802,How Things Work: The Physics of Everyday Life,TR,1200,1330,Online,CLSRM,Tatsuki Matsui,https://prd-xereg.temple.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202136&startDatepicker=&endDatepicker=&uniqueSessionId=dgc7d1b629217c&pageOffset=7500&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,,
okstate,202220,Spring 2022 (View Only),MICR,4263,30112,0,Microbial Genetics: from Genes to Genomes,R,0800,0950,Classroom Building,306,"Prade, Rolf",https://studentregistrationssb.okstate.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202220&startDatepicker=&endDatepicker=&uniqueSessionId=dg5a59a519657b&pageOffset=5000&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc&mepCode=OSU,,
neu,202615,Fall 2025 CPS Quarter (View Only),ALY,6040,70250,02,Data Mining Applications,R,1750,2030,Science Engineering Complex,140,,https://nubanner.neu.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202615&startDatepicker=&endDatepicker=&uniqueSessionId=dg1c8bdad5243f&pageOffset=0&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,,
temple,202503,2025 Spring (View Only),CIS,4282,42556,014,Independent Study,none,,,,,Richard Souvenir,https://prd-xereg.temple.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202503&startDatepicker=&endDatepicker=&uniqueSessionId=dg054703dbfd13&pageOffset=2000&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,,
gmu,202570,Fall 2025 (View Only),BIOL,102,77182,004,GenBioA-Survey of BioDiv-Eco,TR,1030,1145,Exploratory Hall,L004,"Smith, Shawn (he/him/his)",https://ssbstureg.gmu.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202570&startDatepicker=&endDatepicker=&uniqueSessionId=dg01bcb74e44a2&pageOffset=500&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,,
neu,202635,Spring 2026 CPS Quarter (View Only),RGA,6207,80195,01,Global Impact of Electronic Common Technical Document (eCTD) Submissions,R,1750,1940,Dodge Hall,150,,https://nubanner.neu.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202635&startDatepicker=&endDatepicker=&uniqueSessionId=dg07e82c810ad7&pageOffset=500&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,,
gsu,202201,Spring Semester 2022 (View Only),APVC,3001,16878,026,VOICE-JUNIOR I,none,,,Standard Building,714,"Garcia Sandoval, Alejandra (Alejandra) ",https://registration.gosolar.gsu.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202201&startDatepicker=&endDatepicker=&uniqueSessionId=dg37d04ffa8a8d&pageOffset=1000&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,,
ucr,202320,Spring 2023 (View Only),RLST,011,72414,024,ISLAM AND FEMINISM,W,0900,0950,Sproul Hall,2355,"Khalil, Noha",https://registrationssb.ucr.edu/StudentRegistrationSsb/ssb/searchResults/searchResults?txt_term=202320&startDatepicker=&endDatepicker=&uniqueSessionId=dg15f583065554&pageOffset=9000&pageMaxSize=500&sortColumn=subjectDescription&sortDirection=asc,,
